id,nombre,cct,nivel,tipo,sector,direccion,telefono,gmail,lat,lng,calificacion,imagen,descripcion,servicios
74,BACHILLERATO INSTITUTO METROPOLITANO,23PBH0104Y,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA LEONA VICARIO CALLE 71 CALLE 75 NORTE CALLE 64 136 230 77516,,,21.175298,-86.852949,,,,[BACHILLERATO GENERAL]
75,BACHILLERATO TECNOLOGICO DE LA ESCUELA DE PUERICULTURA DEL SURESTE CAMPUS CANCUN,23PCT0004T,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA JOSE LOPEZ PORTILLO CALLE 57 NORTE CALLE 63 NORTE CALLE 12 PONIENTE 295  77509,,,21.16611,-86.84269,,,,[TECNOLoGICO]
76,CENTRO DE ESTUDIOS [TECNOLoGICO]S DEL MAR NUM. 41,23DCM0002G,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA LAK'IN AVENIDA LEONA VICARIO   258 HACIENDAS DEL CARIBE 77539,,,21.148829,-86.906029,,,,[TECNOLoGICO]
77,PLANTEL CONALEP 286. CANCUN II,23DPT0005R,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA 20 DE NOVIEMBRE AVENIDA LA COSTA CALLE 161 NORTE AVENIDA LA COSTA 295  77516,,,21.18462,-86.85036,,,,[PROFESIONAL TeCNICO BACHILLER]
78,INSTITUTO CESARE,23PBH0035S,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,BOULEVARD LUIS DONALDO COLOSIO    295  77560,,,21.11324,-86.83528,,,,[BACHILLERATO GENERAL]
79,CENTRO DE SERVICIOS ACADÉMICOS INTEGRALES CANCÚN,23ECB0014E,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE 57 CALLE 65 NORTE CALLE 57 NORTE CALLE 24 PONIENTE 88 91 77516,,,21.16806,-86.84277,,,,[BACHILLERATO GENERAL]
80,COLEGIO BOSTON TIKAL,23PBH0023N,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA CHICHEN ITZA CALLE CHAC MOOL AVENIDA ANDRÉS QUINTANA ROO AVENIDA LÓPEZ PORTILLO 295  77535,,,21.14711,-86.87558,,,,[BACHILLERATO GENERAL]
81,UNIVERSIDAD UNITECH,23PBH0077R,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA JOSE LOPEZ PORTILLO CALLE JOSE MARIA MORELOS  PRIVADA IGNACIO ALLENDE 68 64 77524,,,21.17905,-86.816836,,,,[BACHILLERATO GENERAL]
82,BACHILLERATO EN LINEA DE LA UNIVERSIDAD DEL DESARROLLO PROFESIONAL,23PBH0066L,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA XELHA AVENIDA XELHA AVENIDA XELHA AVENIDA XELHA 295  77509,,,21.162875,-86.834237,,,,[BACHILLERATO GENERAL]
83,CENTRO DE BACHILLERATO [TECNOLoGICO] INDUSTRIAL Y DE SERVICIOS NUM. 301,23DCT0005N,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA CENTENARIO   CALLE 20 DE NOVIEMBRE 359 255 77500,,,21.163022,-86.902606,,,,[TECNOLoGICO]
84,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 111,23DCT0375F,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA CHICHEN ITZA    295  77500,,,21.17137,-86.82312,,,,[TECNOLoGICO]
85,"BACHILLERATO IMESAD, CAMPUS CANCÚN",23PBH3838B,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA TULÚM AVENIDA JOSÉ GARCÍA DE LA TORRE AVENIDA UXMAL AVENIDA CARLOS J. NADER 295  77535,,,21.166995,-86.825029,,,,[BACHILLERATO GENERAL]
86,INSTITUTO PREUNIVERSITARIO DEL CENTRO DE MEXICO CAMPUS CANCUN,23PBH3970J,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA JOSE LOPEZ PORTILLO CALLE 57 NORTE CALLE V LOMBARDO CALLE 16 PONIENTE 295  77516,,,21.167134,-86.841259,,,,[BACHILLERATO GENERAL]
87,COLEGIO GLOBAL ACADEMY CANCUN,23PBH0088X,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA POLITECNICO CALLE PASEO XCARET CALLE 127 NORTE CALLE PASEOS DEL MAYAB 191 514 77535,,,21.136915,-86.870927,,,,[BACHILLERATO GENERAL]
88,"COLEGIO BRITANICO DEL CARIBE, S.C.",23PCB0001G,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,CALLE PARGO CALLE HUACHINANGO AVENIDA BONAMPAK RETORNO 1 295  77500,,,21.16083,-86.82219,,,,[BACHILLERATO GENERAL]
89,"COLEGIO UNIVERSITARIO ANGLO MEXICANO, S.C. (CUAM)",23PBH0026K,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA BONAMPAK AVENIDA PUNTA CELARIN AVENIDA CONTOY ORIENTE AVENIDA TULUM 295  77500,,,21.13981,-86.823,,,,[BACHILLERATO GENERAL]
90,CENTRO EDUCATIVO MERIDA,23PBH0028I,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA DE LOS COLEGIOS CALLE LUIS DONALDO COLOSIO BOULEVARD LUIS DONALDO COLOSIO CALLE RINCONADA DE LAS CHACHALACAS 295  77560,,,21.09681,-86.85026,,,,[BACHILLERATO GENERAL]
91,PLANTEL CONALEP 009. CANCUN,23DPT0001V,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA JOSE GARCIA DE LA TORRE AVENIDA BONAMPAK AVENIDA CHICHEN ITZA AVENIDA BONAMPAK 295  77500,,,21.1684,-86.82279,,,,[PROFESIONAL TeCNICO BACHILLER]
